epoch,tr_loss,tr_acc,val_loss,val_acc1,val_acc5,time_s
1,4.3201,3.438,4.1075,4.99,20.8,55.3
2,3.9346,7.818,3.937,8.6,28.43,52.9
3,3.7078,11.398,3.7453,10.96,34.22,53.0
4,3.5281,14.428,3.6283,13.22,37.6,53.2
5,3.3427,17.76,3.4682,16.85,43.89,53.0
6,3.1629,20.956,3.3543,18.93,46.51,53.3
7,2.9711,24.234,3.3682,19.06,47.27,53.1
8,2.8105,27.23,3.1267,23.79,54.28,53.1
9,2.6625,30.36,3.0301,25.83,56.98,52.9
10,2.5384,32.664,2.7094,29.34,62.54,53.0
11,2.4316,35.01,3.0852,26.57,57.89,53.0
12,2.3291,37.2,2.5718,32.88,66.13,53.2
13,2.2615,38.898,2.7018,30.58,63.55,53.0
14,2.204,40.058,3.4075,25.55,55.83,53.3
15,2.144,41.198,3.5754,25.34,53.95,53.1
16,2.1023,42.652,3.0545,25.39,54.95,53.2
17,2.0587,43.392,2.5451,35.63,69.06,53.2
18,2.0127,44.794,2.9096,31.12,61.32,52.9
19,1.9629,45.704,2.5453,35.34,67.4,53.0
20,1.9211,46.632,2.4193,37.73,69.55,53.0
21,1.9048,47.208,2.6536,35.29,66.79,53.1
22,1.8517,48.332,2.4819,35.88,68.65,53.1
23,1.8566,48.502,2.6915,33.28,64.64,53.1
24,1.8226,49.12,2.373,38.84,70.97,53.2
25,1.7832,49.83,2.4963,36.68,69.1,53.2
26,1.775,50.234,2.3361,39.17,72.1,53.1
27,1.7654,50.484,2.8493,34.68,65.57,53.0
28,1.7411,51.202,3.7338,25.44,52.23,53.1
29,1.7149,51.884,2.4593,40.26,72.33,52.9
30,1.6871,52.596,2.2603,41.86,74.93,53.2
31,1.6709,52.984,2.7351,34.58,65.44,53.2
32,1.6669,53.07,2.708,36.08,67.14,53.1
33,1.6648,53.046,3.0902,33.02,61.55,53.4
34,1.6405,53.842,2.082,44.69,76.56,53.2
35,1.6247,53.77,2.5144,38.29,70.01,53.3
36,1.6175,54.29,2.7008,36.64,67.14,53.3
37,1.5984,54.99,2.2139,42.45,74.64,53.0
38,1.5686,55.626,2.9186,31.87,61.88,53.0
39,1.5777,55.502,2.5025,39.39,70.7,53.2
40,1.5604,55.998,2.2931,42.62,73.07,53.1
41,1.5513,56.036,2.0827,46.23,77.4,53.1
42,1.5361,56.544,2.3028,41.73,73.8,53.0
43,1.5329,56.584,2.304,41.71,73.75,52.9
44,1.5262,56.994,2.1102,44.21,75.25,53.1
45,1.4975,57.33,3.4463,33.45,65.67,53.2
46,1.5053,57.368,2.638,39.23,68.91,53.0
47,1.4935,57.62,2.8026,37.62,66.85,53.0
48,1.4852,57.912,2.248,43.95,73.71,53.1
